start_maths,student_id,class_id,N_in_class,Ability,Inattentiveness,hyper_impulsive,Deprivation,end_maths
13,3448,3,16,-0.312017694,1,1,4,31
29,6580,3,16,1.169920168,1,1,4,35
37,13308,3,16,1.943186953,1,1,5,48
16,13844,3,16,-0.605304708,1,1,3,27
21,14114,3,16,-0.140529511,1,1,3,34
25,21262,3,16,0.49806671,2,1,2,33
16,22462,3,16,0.545267252,1,1,3,32
8,25656,3,16,-1.080388039,1,1,3,12
19,25771,3,16,0.368774111,1,1,3,30
13,29099,3,16,-0.127922266,1,1,3,26
21,33449,3,16,1.151976021,1,1,3,31
14,34872,3,16,-0.048427537,1,1,4,32
23,36546,3,16,0.885164764,2,1,3,31
6,37920,3,16,-1.284245199,2,1,4,6
23,42349,3,16,0.628356089,2,1,2,34
23,288,4,24,-0.232149958,1,1,3,42
6,2867,4,24,-1.175568866,1,1,3,11
27,3587,4,24,0.350755173,1,1,3,47
18,5045,4,24,0.016235626,1,1,4,34
9,11243,4,24,-0.861665586,2,2,4,28
9,14518,4,24,-0.482651343,2,2,4,29
15,15844,4,24,0.407375587,2,2,4,47
21,17202,4,24,-0.004007633,2,1,4,40
34,19949,4,24,2.069400698,1,1,3,54
9,28531,4,24,-0.786246491,2,2,4,16
24,28623,4,24,-0.016133351,2,2,4,48
5,29333,4,24,-1.246946055,3,2,4,20
22,30797,4,24,-0.281093295,2,2,4,36
19,34039,4,24,0.277119936,1,1,3,36
25,34480,4,24,1.052271762,2,2,3,45
26,39370,4,24,0.134738566,1,1,4,45
24,40991,4,24,0.705144971,3,3,4,49
18,41021,4,24,0.501220355,1,1,4,25
23,41520,4,24,0.174709829,1,1,4,45
5,42379,4,24,-1.661923382,1,1,3,17
12,42630,4,24,-0.993291024,2,2,3,27
13,44464,4,24,-0.58506145,2,2,3,30
6,45149,4,24,-1.008495597,1,1,4,26
22,46222,4,24,-0.139159723,4,3,4,47
2,2716,5,23,-1.889584181,1,1,3,12
10,3045,5,23,-1.353398067,1,1,2,24
23,4722,5,23,-0.03993699,1,1,3,47
20,6364,5,23,-0.320583032,1,1,2,47
15,9541,5,23,-0.648836352,2,1,3,40
11,10409,5,23,-0.79703615,3,1,2,31
24,11373,5,23,0.265027945,1,1,3,49
22,13324,5,23,0.245266212,1,1,2,45
8,13625,5,23,-1.161218827,2,1,3,26
20,19669,5,23,-0.540641545,1,1,2,44
16,23642,5,23,-1.059738045,1,1,3,36
7,25873,5,23,-1.204750471,2,1,2,22
17,29602,5,23,-0.038119404,2,2,2,42
26,30368,5,23,1.533214584,1,1,2,51
16,34625,5,23,0.010003127,1,1,3,42
18,34662,5,23,-0.165153955,1,2,2,43
37,36521,5,23,2.129988228,1,1,3,51
20,37781,5,23,-0.376274122,2,3,3,41
