start_maths,student_id,class_id,N_in_class,Ability,Inattentiveness,hyper_impulsive,Deprivation,end_maths
29,1843,2566,12,2.2064,1,1,3,50
26,1343,2566,12,1.31586,2,2,3,51
21,31796,2566,12,-0.68121,2,2,3,40
18,34537,2566,12,-0.88102,5,4,3,36
23,21003,2566,12,0.64267,1,1,3,45
19,28700,2566,12,0.34634,2,1,3,42
15,46424,2566,12,0.30682,4,3,3,38
22,15625,2566,12,0.67456,1,2,3,46
18,17157,2566,12,-0.17598,4,2,3,38
30,1456,2566,12,1.59517,1,1,3,52
27,24046,2566,12,1.16447,3,2,3,43
26,25165,2566,12,1.12365,2,3,3,50
13,42860,1870,12,-1.27308,1,1,5,26
32,5923,1870,12,-0.22637,1,1,5,37
20,12198,1870,12,-0.31247,1,1,5,31
11,42836,1870,12,-1.34312,1,1,5,17
22,14310,1870,12,-0.69336,1,1,5,30
22,27238,1870,12,0.07008,1,1,5,30
13,10274,1870,12,-0.4234,1,1,5,31
35,38710,1870,12,1.73392,1,1,4,42
24,8687,1870,12,-0.45625,1,1,1,28
26,34198,1870,12,0.01794,1,1,3,28
19,31623,1870,12,-0.81235,1,1,3,22
23,17473,1870,12,-0.56359,1,1,3,25
13,8029,2431,12,-0.81324,2,3,3,43
8,9033,2431,12,-0.91602,1,1,2,44
23,12307,2431,12,0.64267,1,1,4,62
24,9729,2431,12,0.29907,1,1,3,59
19,14676,2431,12,-0.21328,1,1,2,56
7,7405,2431,12,-1.04579,1,1,3,42
0,3880,2431,12,-2.23267,1,1,4,40
8,5091,2431,12,-1.26719,2,2,3,42
11,35967,2431,12,-1.2039,1,1,3,47
25,4462,2431,12,0.7657,1,1,3,46
7,17993,2431,12,-1.26585,3,1,1,35
3,21060,2431,12,-1.27212,3,1,2,30
37,18453,2277,12,2.16054,2,4,5,52
12,46783,2277,12,-0.66726,1,1,5,24
15,34380,2277,12,-1.09166,1,1,4,30
11,9593,2277,12,-1.06737,1,1,5,38
27,32391,2277,12,-0.27616,1,1,4,43
18,45800,2277,12,-0.44632,1,1,5,45
31,386,2277,12,0.92825,1,1,4,57
4,31129,2277,12,-2.0369,2,2,5,28
8,2681,2277,12,-1.61836,4,1,4,28
34,10845,2277,12,0.7796,1,1,1,42
6,38350,2277,12,-1.85818,3,1,4,28
29,34286,2277,12,0.25102,1,1,4,62
24,20512,475,12,1.30422,2,1,4,42
28,43822,475,12,1.88983,1,1,3,48
22,38148,475,12,0.91085,1,1,1,44
21,11090,475,12,-0.07943,2,1,3,37
27,21790,475,12,1.31994,1,1,3,37
31,11550,475,12,1.39892,2,1,3,44
32,32940,475,12,1.75957,1,2,3,42
26,45347,475,12,1.37426,1,1,3,39
31,34061,475,12,2.27915,1,1,3,48
21,27209,475,12,0.00682,5,1,3,34
24,22770,475,12,1.49643,3,1,3,39
25,43183,475,12,1.57322,1,1,3,47
28,44021,1006,12,1.9374,1,1,3,52
26,28480,1006,12,2.11797,1,1,3,47
28,40085,1006,12,1.96795,1,1,3,53
27,45795,1006,12,1.58486,2,5,3,46
19,33212,1006,12,0.53044,5,5,3,43
40,35635,1006,12,2.85616,1,1,3,54
18,38145,1006,12,0.59829,5,3,3,42
24,40279,1006,12,0.66648,1,1,3,48
27,24569,1006,12,0.6822,1,1,3,45
24,37896,1006,12,1.57456,1,1,3,45
17,43674,1006,12,-0.30575,1,1,3,37
26,10264,1006,12,1.02309,1,1,3,45
31,26892,32,12,0.42973,1,1,2,54
